,Input,Action,Asset,Start,End
28,Modifica la prenotazione di auditorium al giorno 22/01/2025 dalle 04:43 alle 13:43,modifica,auditorium,2025-01-22T04:43:24.300Z,2025-01-22T13:43:24.300Z
29,Modifica la prenotazione di sala riunioni al giorno 20/03/2025 dalle 05:13 alle 06:13,modifica,sala riunioni,2025-03-20T05:13:24.300Z,2025-03-20T06:13:24.300Z
30,Prenota sala meeting per il giorno 11/02/2025 dalle 02:28 alle 06:28,prenota,sala meeting,2025-02-11T02:28:24.300Z,2025-02-11T06:28:24.300Z
31,Modifica la prenotazione di sala riunioni al giorno 13/01/2025 dalle 11:13 alle 13:13,modifica,sala riunioni,2025-01-13T11:13:24.300Z,2025-01-13T13:13:24.300Z
32,Modifica la prenotazione di desk 40 al giorno 19/01/2025 dalle 02:13 alle 11:13,modifica,desk 40,2025-01-19T02:13:24.300Z,2025-01-19T11:13:24.300Z
33,Prenota sala meeting per il giorno 11/03/2025 dalle 13:13 alle 17:13,prenota,sala meeting,2025-03-11T13:13:24.300Z,2025-03-11T17:13:24.300Z
34,Modifica la prenotazione di desk 40 al giorno 01/04/2025 dalle 02:58 alle 09:58,modifica,desk 40,2025-04-01T02:58:24.300Z,2025-04-01T09:58:24.300Z
35,Modifica la prenotazione di desk 18 al giorno 19/02/2025 dalle 07:13 alle 09:13,modifica,desk 18,2025-02-19T07:13:24.300Z,2025-02-19T09:13:24.300Z
36,Prenota auditorium per il giorno 11/01/2025 dalle 04:28 alle 14:28,prenota,auditorium,2025-01-11T04:28:24.300Z,2025-01-11T14:28:24.300Z
37,Modifica la prenotazione di auditorium al giorno 19/03/2025 dalle 02:28 alle 04:28,modifica,auditorium,2025-03-19T02:28:24.300Z,2025-03-19T04:28:24.300Z
38,Modifica la prenotazione di desk 18 al giorno 10/01/2025 dalle 02:28 alle 03:28,modifica,desk 18,2025-01-10T02:28:24.300Z,2025-01-10T03:28:24.300Z
39,Cancella la prenotazione di sala riunioni per il giorno 09/03/2025 dalle 02:58 alle 10:58,cancella,sala riunioni,2025-03-09T02:58:24.300Z,2025-03-09T10:58:24.300Z
40,Prenota ufficio B per il giorno 19/01/2025 dalle 11:13 alle 15:13,prenota,ufficio B,2025-01-19T11:13:24.300Z,2025-01-19T15:13:24.300Z
41,Cancella la prenotazione di desk 40 per il giorno 24/02/2025 dalle 02:28 alle 04:28,cancella,desk 40,2025-02-24T02:28:24.300Z,2025-02-24T04:28:24.300Z
42,Modifica la prenotazione di ufficio A al giorno 17/02/2025 dalle 06:13 alle 14:13,modifica,ufficio A,2025-02-17T06:13:24.300Z,2025-02-17T14:13:24.300Z
43,Modifica la prenotazione di sala riunioni al giorno 30/03/2025 dalle 09:28 alle 10:28,modifica,sala riunioni,2025-03-30T09:28:24.300Z,2025-03-30T10:28:24.300Z
44,Cancella la prenotazione di desk 18 per il giorno 15/02/2025 dalle 11:28 alle 15:28,cancella,desk 18,2025-02-15T11:28:24.300Z,2025-02-15T15:28:24.300Z
45,Prenota auditorium per il giorno 12/03/2025 dalle 06:43 alle 13:43,prenota,auditorium,2025-03-12T06:43:24.300Z,2025-03-12T13:43:24.300Z
46,Prenota sala meeting per il giorno 03/03/2025 dalle 02:28 alle 10:28,prenota,sala meeting,2025-03-03T02:28:24.300Z,2025-03-03T10:28:24.300Z
47,Modifica la prenotazione di sala riunioni al giorno 09/01/2025 dalle 09:28 alle 11:28,modifica,sala riunioni,2025-01-09T09:28:24.300Z,2025-01-09T11:28:24.300Z
48,Prenota auditorium per il giorno 24/02/2025 dalle 07:13 alle 11:13,prenota,auditorium,2025-02-24T07:13:24.300Z,2025-02-24T11:13:24.300Z
49,Cancella la prenotazione di sala riunioni per il giorno 24/01/2025 dalle 05:28 alle 12:28,cancella,sala riunioni,2025-01-24T05:28:24.300Z,2025-01-24T12:28:24.300Z
50,Cancella la prenotazione di desk 40 per il giorno 02/03/2025 dalle 04:13 alle 13:13,cancella,desk 40,2025-03-02T04:13:24.300Z,2025-03-02T13:13:24.300Z
51,Modifica la prenotazione di desk 18 al giorno 06/03/2025 dalle 01:43 alle 06:43,modifica,desk 18,2025-03-06T01:43:24.300Z,2025-03-06T06:43:24.300Z
52,Prenota sala riunioni per il giorno 18/03/2025 dalle 10:28 alle 16:28,prenota,sala riunioni,2025-03-18T10:28:24.300Z,2025-03-18T16:28:24.300Z
53,Prenota sala riunioni per il giorno 18/03/2025 dalle 06:43 alle 07:43,prenota,sala riunioni,2025-03-18T06:43:24.300Z,2025-03-18T07:43:24.300Z
54,Modifica la prenotazione di sala riunioni al giorno 26/01/2025 dalle 00:28 alle 04:28,modifica,sala riunioni,2025-01-26T00:28:24.300Z,2025-01-26T04:28:24.300Z
55,Cancella la prenotazione di sala riunioni per il giorno 16/03/2025 dalle 02:28 alle 12:28,cancella,sala riunioni,2025-03-16T02:28:24.300Z,2025-03-16T12:28:24.300Z
56,Prenota ufficio A per il giorno 28/03/2025 dalle 08:58 alle 13:58,prenota,ufficio A,2025-03-28T08:58:24.300Z,2025-03-28T13:58:24.300Z
57,Prenota desk 18 per il giorno 12/02/2025 dalle 02:58 alle 09:58,prenota,desk 18,2025-02-12T02:58:24.300Z,2025-02-12T09:58:24.300Z
58,Prenota desk 18 per il giorno 26/03/2025 dalle 04:13 alle 10:13,prenota,desk 18,2025-03-26T04:13:24.300Z,2025-03-26T10:13:24.300Z
59,Prenota sala riunioni per il giorno 02/03/2025 dalle 08:28 alle 10:28,prenota,sala riunioni,2025-03-02T08:28:24.300Z,2025-03-02T10:28:24.300Z
60,Modifica la prenotazione di auditorium al giorno 08/03/2025 dalle 03:43 alle 09:43,modifica,auditorium,2025-03-08T03:43:24.300Z,2025-03-08T09:43:24.300Z
61,Prenota auditorium per il giorno 19/02/2025 dalle 03:43 alle 11:43,prenota,auditorium,2025-02-19T03:43:24.300Z,2025-02-19T11:43:24.300Z
62,Modifica la prenotazione di desk 18 al giorno 10/02/2025 dalle 08:28 alle 17:28,modifica,desk 18,2025-02-10T08:28:24.300Z,2025-02-10T17:28:24.300Z
63,Cancella la prenotazione di desk 18 per il giorno 16/01/2025 dalle 13:43 alle 18:43,cancella,desk 18,2025-01-16T13:43:24.300Z,2025-01-16T18:43:24.300Z
64,Prenota sala riunioni per il giorno 14/03/2025 dalle 01:58 alle 06:58,prenota,sala riunioni,2025-03-14T01:58:24.300Z,2025-03-14T06:58:24.300Z
65,Modifica la prenotazione di auditorium al giorno 15/02/2025 dalle 02:58 alle 11:58,modifica,auditorium,2025-02-15T02:58:24.300Z,2025-02-15T11:58:24.300Z
66,Cancella la prenotazione di sala meeting per il giorno 09/01/2025 dalle 01:13 alle 06:13,cancella,sala meeting,2025-01-09T01:13:24.300Z,2025-01-09T06:13:24.300Z
67,Prenota sala riunioni per il giorno 14/02/2025 dalle 11:43 alle 16:43,prenota,sala riunioni,2025-02-14T11:43:24.300Z,2025-02-14T16:43:24.300Z
68,Prenota desk 18 per il giorno 28/02/2025 dalle 08:13 alle 17:13,prenota,desk 18,2025-02-28T08:13:24.300Z,2025-02-28T17:13:24.300Z
69,Prenota sala riunioni per il giorno 12/01/2025 dalle 13:43 alle 22:43,prenota,sala riunioni,2025-01-12T13:43:24.300Z,2025-01-12T22:43:24.300Z
70,Prenota desk 40 per il giorno 19/02/2025 dalle 08:43 alle 15:43,prenota,desk 40,2025-02-19T08:43:24.300Z,2025-02-19T15:43:24.300Z
71,Prenota sala riunioni per il giorno 11/02/2025 dalle 04:28 alle 10:28,prenota,sala riunioni,2025-02-11T04:28:24.300Z,2025-02-11T10:28:24.300Z
72,Prenota desk 18 per il giorno 03/02/2025 dalle 09:28 alle 15:28,prenota,desk 18,2025-02-03T09:28:24.300Z,2025-02-03T15:28:24.300Z
73,Modifica la prenotazione di desk 40 al giorno 24/02/2025 dalle 08:43 alle 12:43,modifica,desk 40,2025-02-24T08:43:24.300Z,2025-02-24T12:43:24.300Z
74,Prenota desk 40 per il giorno 25/01/2025 dalle 14:13 alle 15:13,prenota,desk 40,2025-01-25T14:13:24.300Z,2025-01-25T15:13:24.300Z
75,Prenota desk 18 per il giorno 14/02/2025 dalle 12:13 alle 16:13,prenota,desk 18,2025-02-14T12:13:24.300Z,2025-02-14T16:13:24.300Z
76,Cancella la prenotazione di auditorium per il giorno 02/04/2025 dalle 01:13 alle 02:13,cancella,auditorium,2025-04-02T01:13:24.300Z,2025-04-02T02:13:24.300Z
77,Cancella la prenotazione di auditorium per il giorno 28/01/2025 dalle 13:13 alle 19:13,cancella,auditorium,2025-01-28T13:13:24.300Z,2025-01-28T19:13:24.300Z
78,Cancella la prenotazione di desk 40 per il giorno 01/02/2025 dalle 02:28 alle 06:28,cancella,desk 40,2025-02-01T02:28:24.300Z,2025-02-01T06:28:24.300Z
79,Cancella la prenotazione di sala meeting per il giorno 07/02/2025 dalle 12:28 alle 17:28,cancella,sala meeting,2025-02-07T12:28:24.300Z,2025-02-07T17:28:24.300Z
80,Cancella la prenotazione di desk 18 per il giorno 09/03/2025 dalle 05:58 alle 06:58,cancella,desk 18,2025-03-09T05:58:24.300Z,2025-03-09T06:58:24.300Z
81,Prenota sala meeting per il giorno 25/01/2025 dalle 08:58 alle 09:58,prenota,sala meeting,2025-01-25T08:58:24.300Z,2025-01-25T09:58:24.300Z
82,Prenota ufficio B per il giorno 27/02/2025 dalle 04:58 alle 11:58,prenota,ufficio B,2025-02-27T04:58:24.300Z,2025-02-27T11:58:24.300Z
83,Modifica la prenotazione di ufficio B al giorno 17/01/2025 dalle 05:43 alle 10:43,modifica,ufficio B,2025-01-17T05:43:24.300Z,2025-01-17T10:43:24.300Z
84,Prenota desk 18 per il giorno 26/02/2025 dalle 23:43 alle 05:43,prenota,desk 18,2025-02-26T23:43:24.300Z,2025-02-27T05:43:24.300Z
85,Cancella la prenotazione di sala riunioni per il giorno 29/03/2025 dalle 13:58 alle 23:58,cancella,sala riunioni,2025-03-29T13:58:24.300Z,2025-03-29T23:58:24.300Z
86,Cancella la prenotazione di desk 18 per il giorno 18/01/2025 dalle 10:58 alle 19:58,cancella,desk 18,2025-01-18T10:58:24.300Z,2025-01-18T19:58:24.300Z
87,Cancella la prenotazione di desk 18 per il giorno 24/02/2025 dalle 05:13 alle 10:13,cancella,desk 18,2025-02-24T05:13:24.300Z,2025-02-24T10:13:24.300Z
88,Modifica la prenotazione di auditorium al giorno 27/01/2025 dalle 06:13 alle 09:13,modifica,auditorium,2025-01-27T06:13:24.300Z,2025-01-27T09:13:24.300Z
89,Modifica la prenotazione di ufficio B al giorno 10/02/2025 dalle 05:28 alle 10:28,modifica,ufficio B,2025-02-10T05:28:24.300Z,2025-02-10T10:28:24.300Z
90,Cancella la prenotazione di auditorium per il giorno 27/02/2025 dalle 11:58 alle 19:58,cancella,auditorium,2025-02-27T11:58:24.300Z,2025-02-27T19:58:24.300Z
91,Cancella la prenotazione di ufficio A per il giorno 30/03/2025 dalle 03:13 alle 06:13,cancella,ufficio A,2025-03-30T03:13:24.300Z,2025-03-30T06:13:24.300Z
92,Modifica la prenotazione di sala riunioni al giorno 08/02/2025 dalle 07:58 alle 09:58,modifica,sala riunioni,2025-02-08T07:58:24.300Z,2025-02-08T09:58:24.300Z
93,Prenota desk 18 per il giorno 11/02/2025 dalle 02:43 alle 05:43,prenota,desk 18,2025-02-11T02:43:24.300Z,2025-02-11T05:43:24.300Z
94,Prenota sala riunioni per il giorno 03/02/2025 dalle 06:28 alle 14:28,prenota,sala riunioni,2025-02-03T06:28:24.300Z,2025-02-03T14:28:24.300Z
95,Cancella la prenotazione di desk 18 per il giorno 17/03/2025 dalle 03:13 alle 11:13,cancella,desk 18,2025-03-17T03:13:24.300Z,2025-03-17T11:13:24.300Z
96,Cancella la prenotazione di auditorium per il giorno 21/01/2025 dalle 09:28 alle 11:28,cancella,auditorium,2025-01-21T09:28:24.300Z,2025-01-21T11:28:24.300Z
97,Cancella la prenotazione di auditorium per il giorno 25/01/2025 dalle 12:13 alle 13:13,cancella,auditorium,2025-01-25T12:13:24.300Z,2025-01-25T13:13:24.300Z
98,Modifica la prenotazione di auditorium al giorno 18/01/2025 dalle 06:43 alle 14:43,modifica,auditorium,2025-01-18T06:43:24.300Z,2025-01-18T14:43:24.300Z
99,Modifica la prenotazione di ufficio B al giorno 15/03/2025 dalle 08:58 alle 16:58,modifica,ufficio B,2025-03-15T08:58:24.300Z,2025-03-15T16:58:24.300Z
100,Modifica la prenotazione di desk 40 al giorno 08/03/2025 dalle 06:13 alle 09:13,modifica,desk 40,2025-03-08T06:13:24.300Z,2025-03-08T09:13:24.300Z
101,Modifica la prenotazione di desk 40 al giorno 04/03/2025 dalle 06:58 alle 10:58,modifica,desk 40,2025-03-04T06:58:24.300Z,2025-03-04T10:58:24.300Z
102,Modifica la prenotazione di sala meeting al giorno 10/03/2025 dalle 06:43 alle 11:43,modifica,sala meeting,2025-03-10T06:43:24.300Z,2025-03-10T11:43:24.300Z
103,Cancella la prenotazione di sala riunioni per il giorno 08/02/2025 dalle 02:58 alle 08:58,cancella,sala riunioni,2025-02-08T02:58:24.300Z,2025-02-08T08:58:24.300Z
104,Cancella la prenotazione di ufficio B per il giorno 13/01/2025 dalle 01:43 alle 05:43,cancella,ufficio B,2025-01-13T01:43:24.300Z,2025-01-13T05:43:24.300Z
105,Cancella la prenotazione di desk 18 per il giorno 22/01/2025 dalle 10:43 alle 12:43,cancella,desk 18,2025-01-22T10:43:24.300Z,2025-01-22T12:43:24.300Z
106,Cancella la prenotazione di ufficio A per il giorno 14/02/2025 dalle 08:13 alle 15:13,cancella,ufficio A,2025-02-14T08:13:24.300Z,2025-02-14T15:13:24.300Z
107,Prenota auditorium per il giorno 25/02/2025 dalle 05:28 alle 15:28,prenota,auditorium,2025-02-25T05:28:24.300Z,2025-02-25T15:28:24.300Z
108,Cancella la prenotazione di ufficio A per il giorno 03/01/2025 dalle 04:58 alle 11:58,cancella,ufficio A,2025-01-03T04:58:24.300Z,2025-01-03T11:58:24.300Z
109,Cancella la prenotazione di ufficio B per il giorno 13/03/2025 dalle 11:43 alle 19:43,cancella,ufficio B,2025-03-13T11:43:24.300Z,2025-03-13T19:43:24.300Z
110,Prenota sala meeting per il giorno 27/02/2025 dalle 06:28 alle 13:28,prenota,sala meeting,2025-02-27T06:28:24.300Z,2025-02-27T13:28:24.300Z
111,Cancella la prenotazione di desk 18 per il giorno 30/03/2025 dalle 12:13 alle 15:13,cancella,desk 18,2025-03-30T12:13:24.300Z,2025-03-30T15:13:24.300Z
112,Cancella la prenotazione di auditorium per il giorno 23/03/2025 dalle 07:28 alle 14:28,cancella,auditorium,2025-03-23T07:28:24.300Z,2025-03-23T14:28:24.300Z
113,Modifica la prenotazione di ufficio B al giorno 27/03/2025 dalle 23:28 alle 06:28,modifica,ufficio B,2025-03-27T23:28:24.300Z,2025-03-28T06:28:24.300Z
114,Prenota desk 40 per il giorno 03/03/2025 dalle 01:28 alle 06:28,prenota,desk 40,2025-03-03T01:28:24.300Z,2025-03-03T06:28:24.300Z
115,Cancella la prenotazione di sala meeting per il giorno 30/01/2025 dalle 06:58 alle 12:58,cancella,sala meeting,2025-01-30T06:58:24.300Z,2025-01-30T12:58:24.300Z
116,Cancella la prenotazione di sala meeting per il giorno 25/02/2025 dalle 03:28 alle 11:28,cancella,sala meeting,2025-02-25T03:28:24.300Z,2025-02-25T11:28:24.300Z
117,Prenota desk 18 per il giorno 12/03/2025 dalle 23:58 alle 03:58,prenota,desk 18,2025-03-12T23:58:24.300Z,2025-03-13T03:58:24.300Z
118,Modifica la prenotazione di sala riunioni al giorno 26/03/2025 dalle 23:28 alle 03:28,modifica,sala riunioni,2025-03-26T23:28:24.300Z,2025-03-27T03:28:24.300Z
119,Prenota desk 40 per il giorno 05/01/2025 dalle 08:43 alle 12:43,prenota,desk 40,2025-01-05T08:43:24.300Z,2025-01-05T12:43:24.300Z
120,Prenota ufficio A per il giorno 29/03/2025 dalle 00:43 alle 08:43,prenota,ufficio A,2025-03-29T00:43:24.300Z,2025-03-29T08:43:24.300Z
121,Modifica la prenotazione di sala meeting al giorno 19/02/2025 dalle 01:28 alle 04:28,modifica,sala meeting,2025-02-19T01:28:24.300Z,2025-02-19T04:28:24.300Z
122,Cancella la prenotazione di sala riunioni per il giorno 17/03/2025 dalle 23:58 alle 09:58,cancella,sala riunioni,2025-03-17T23:58:24.300Z,2025-03-18T09:58:24.300Z
123,Modifica la prenotazione di ufficio A al giorno 22/02/2025 dalle 10:43 alle 12:43,modifica,ufficio A,2025-02-22T10:43:24.300Z,2025-02-22T12:43:24.300Z
124,Modifica la prenotazione di desk 18 al giorno 24/03/2025 dalle 02:28 alle 07:28,modifica,desk 18,2025-03-24T02:28:24.300Z,2025-03-24T07:28:24.300Z
125,Modifica la prenotazione di ufficio B al giorno 18/01/2025 dalle 11:28 alle 17:28,modifica,ufficio B,2025-01-18T11:28:24.300Z,2025-01-18T17:28:24.300Z
126,Modifica la prenotazione di ufficio A al giorno 28/03/2025 dalle 04:28 alle 13:28,modifica,ufficio A,2025-03-28T04:28:24.300Z,2025-03-28T13:28:24.300Z
127,Modifica la prenotazione di sala meeting al giorno 04/01/2025 dalle 13:13 alle 21:13,modifica,sala meeting,2025-01-04T13:13:24.300Z,2025-01-04T21:13:24.300Z
128,Prenota ufficio A per il giorno 18/02/2025 dalle 10:13 alle 13:13,prenota,ufficio A,2025-02-18T10:13:24.300Z,2025-02-18T13:13:24.300Z
129,Cancella la prenotazione di auditorium per il giorno 10/03/2025 dalle 09:58 alle 19:58,cancella,auditorium,2025-03-10T09:58:24.300Z,2025-03-10T19:58:24.300Z
130,Modifica la prenotazione di desk 40 al giorno 05/03/2025 dalle 07:13 alle 17:13,modifica,desk 40,2025-03-05T07:13:24.300Z,2025-03-05T17:13:24.300Z
131,Cancella la prenotazione di sala meeting per il giorno 03/02/2025 dalle 12:28 alle 17:28,cancella,sala meeting,2025-02-03T12:28:24.300Z,2025-02-03T17:28:24.300Z
132,Cancella la prenotazione di auditorium per il giorno 03/03/2025 dalle 09:13 alle 15:13,cancella,auditorium,2025-03-03T09:13:24.300Z,2025-03-03T15:13:24.300Z
133,Prenota ufficio A per il giorno 13/02/2025 dalle 02:13 alle 06:13,prenota,ufficio A,2025-02-13T02:13:24.300Z,2025-02-13T06:13:24.300Z
134,Cancella la prenotazione di desk 40 per il giorno 05/02/2025 dalle 04:58 alle 14:58,cancella,desk 40,2025-02-05T04:58:24.300Z,2025-02-05T14:58:24.300Z
135,Modifica la prenotazione di sala meeting al giorno 14/03/2025 dalle 23:43 alle 01:43,modifica,sala meeting,2025-03-14T23:43:24.300Z,2025-03-15T01:43:24.300Z
136,Prenota desk 18 per il giorno 24/02/2025 dalle 06:43 alle 14:43,prenota,desk 18,2025-02-24T06:43:24.300Z,2025-02-24T14:43:24.300Z
137,Modifica la prenotazione di desk 18 al giorno 06/03/2025 dalle 06:28 alle 08:28,modifica,desk 18,2025-03-06T06:28:24.300Z,2025-03-06T08:28:24.300Z
138,Cancella la prenotazione di auditorium per il giorno 23/02/2025 dalle 10:43 alle 15:43,cancella,auditorium,2025-02-23T10:43:24.300Z,2025-02-23T15:43:24.300Z
139,Modifica la prenotazione di ufficio B al giorno 19/02/2025 dalle 06:58 alle 13:58,modifica,ufficio B,2025-02-19T06:58:24.300Z,2025-02-19T13:58:24.300Z
140,Modifica la prenotazione di ufficio B al giorno 14/02/2025 dalle 05:13 alle 10:13,modifica,ufficio B,2025-02-14T05:13:24.300Z,2025-02-14T10:13:24.300Z
141,Cancella la prenotazione di sala meeting per il giorno 01/02/2025 dalle 00:43 alle 06:43,cancella,sala meeting,2025-02-01T00:43:24.300Z,2025-02-01T06:43:24.300Z
142,Prenota desk 18 per il giorno 12/03/2025 dalle 11:43 alle 15:43,prenota,desk 18,2025-03-12T11:43:24.300Z,2025-03-12T15:43:24.300Z
143,Prenota desk 18 per il giorno 05/03/2025 dalle 03:58 alle 05:58,prenota,desk 18,2025-03-05T03:58:24.300Z,2025-03-05T05:58:24.300Z
144,Prenota sala meeting per il giorno 01/02/2025 dalle 04:43 alle 09:43,prenota,sala meeting,2025-02-01T04:43:24.300Z,2025-02-01T09:43:24.300Z
145,Prenota desk 18 per il giorno 12/03/2025 dalle 01:58 alle 02:58,prenota,desk 18,2025-03-12T01:58:24.300Z,2025-03-12T02:58:24.300Z
146,Prenota ufficio B per il giorno 09/02/2025 dalle 10:43 alle 18:43,prenota,ufficio B,2025-02-09T10:43:24.300Z,2025-02-09T18:43:24.300Z
147,Prenota desk 40 per il giorno 04/01/2025 dalle 08:58 alle 16:58,prenota,desk 40,2025-01-04T08:58:24.300Z,2025-01-04T16:58:24.300Z
148,Cancella la prenotazione di ufficio A per il giorno 15/02/2025 dalle 01:28 alle 06:28,cancella,ufficio A,2025-02-15T01:28:24.300Z,2025-02-15T06:28:24.300Z
149,Cancella la prenotazione di sala riunioni per il giorno 11/01/2025 dalle 06:13 alle 08:13,cancella,sala riunioni,2025-01-11T06:13:24.300Z,2025-01-11T08:13:24.300Z
150,Modifica la prenotazione di desk 18 al giorno 30/03/2025 dalle 23:43 alle 02:43,modifica,desk 18,2025-03-30T23:43:24.300Z,2025-03-31T02:43:24.300Z
151,Modifica la prenotazione di sala meeting al giorno 13/01/2025 dalle 02:28 alle 11:28,modifica,sala meeting,2025-01-13T02:28:24.300Z,2025-01-13T11:28:24.300Z
152,Cancella la prenotazione di ufficio B per il giorno 20/03/2025 dalle 11:43 alle 20:43,cancella,ufficio B,2025-03-20T11:43:24.300Z,2025-03-20T20:43:24.300Z
153,Cancella la prenotazione di ufficio A per il giorno 28/02/2025 dalle 04:13 alle 09:13,cancella,ufficio A,2025-02-28T04:13:24.300Z,2025-02-28T09:13:24.300Z
154,Modifica la prenotazione di ufficio B al giorno 10/01/2025 dalle 08:28 alle 12:28,modifica,ufficio B,2025-01-10T08:28:24.300Z,2025-01-10T12:28:24.300Z
155,Modifica la prenotazione di auditorium al giorno 05/02/2025 dalle 09:28 alle 12:28,modifica,auditorium,2025-02-05T09:28:24.300Z,2025-02-05T12:28:24.300Z
156,Prenota auditorium per il giorno 14/03/2025 dalle 00:43 alle 01:43,prenota,auditorium,2025-03-14T00:43:24.300Z,2025-03-14T01:43:24.300Z
157,Cancella la prenotazione di ufficio A per il giorno 01/04/2025 dalle 09:13 alle 14:13,cancella,ufficio A,2025-04-01T09:13:24.300Z,2025-04-01T14:13:24.300Z
158,Prenota auditorium per il giorno 08/02/2025 dalle 10:58 alle 18:58,prenota,auditorium,2025-02-08T10:58:24.300Z,2025-02-08T18:58:24.300Z
159,Prenota desk 18 per il giorno 01/02/2025 dalle 13:58 alle 23:58,prenota,desk 18,2025-02-01T13:58:24.300Z,2025-02-01T23:58:24.300Z
